Organization,Industry,Breach_Type,Records_Compromised,Detection_Days,Total_Cost_USD,Compliance_Standard,Breach_Year,Industry_encoded,Breach_Type_encoded,Compliance_encoded,High_Cost
"Hall, Cherry and Davis",Healthcare,Insider Threat,860663,108,705484,PCI-DSS,2024,3,2,3,1
Hicks-Bonilla,Retail,Malware,441224,281,367255,,2020,4,3,5,0
Lambert-Wilson,Technology,Phishing,995943,128,468081,SOX,2023,5,4,4,0
Little-Kelley,Retail,Malware,812495,229,688994,HIPAA,2021,4,3,2,1
"Allen, Brown and Jackson",Technology,Phishing,626145,111,454747,SOX,2024,5,4,4,0
Willis PLC,Healthcare,Malware,432759,136,651210,,2024,3,3,5,1
Johnson Inc,Finance,Phishing,885791,362,486890,SOX,2023,1,4,4,0
Allison PLC,Education,Ransomware,301307,186,896338,PCI-DSS,2018,0,5,3,1
Mckay-Andrews,Healthcare,Credential Theft,376469,144,813755,CCPA,2016,3,0,0,1
"Santos, Smith and Mosley",Education,Credential Theft,378644,72,234380,SOX,2022,0,0,4,0
Harris-Holmes,Government,DDoS,343062,129,604448,PCI-DSS,2018,2,1,3,1
Gray-Haas,Finance,Credential Theft,266947,364,336719,CCPA,2023,1,0,0,0
Bell Inc,Finance,Insider Threat,720588,261,538301,HIPAA,2018,1,2,2,1
"Soto, Allen and Brown",Healthcare,Malware,596487,3,513674,,2022,3,3,5,1
"Huber, Nelson and Mejia",Finance,DDoS,419165,104,288922,HIPAA,2023,1,1,2,0
Morrison-Joseph,Technology,Insider Threat,687320,224,711696,GDPR,2023,5,2,1,1
Flynn Group,Finance,Insider Threat,31685,320,540660,PCI-DSS,2024,1,2,3,1
"Wilcox, Mccarty and Perkins",Education,Phishing,415331,362,443063,CCPA,2018,0,4,0,0
"Walton, Martinez and Castro",Education,Credential Theft,995143,354,412378,SOX,2015,0,0,4,0
"Cortez, Lawson and Martinez",Education,Ransomware,567973,10,527955,HIPAA,2017,0,5,2,1
Mullins Ltd,Education,Ransomware,289202,302,581585,CCPA,2023,0,5,0,1
Bailey Ltd,Technology,DDoS,288261,231,475004,PCI-DSS,2018,5,1,3,0
"Aguilar, Cruz and Wilson",Retail,Ransomware,994311,219,-66503,GDPR,2019,4,5,1,0
Burke-Diaz,Government,Malware,386921,66,503378,HIPAA,2021,2,3,2,1
"Coleman, Contreras and Brewer",Healthcare,Ransomware,962954,112,211703,,2019,3,5,5,0
"Chavez, Lewis and Jones",Education,DDoS,929805,13,458109,CCPA,2018,0,1,0,0
"Snyder, Ball and Davis",Finance,Ransomware,815958,86,219087,,2016,1,5,5,0
"Hall, Benitez and Nolan",Education,Malware,280022,234,216700,CCPA,2016,0,3,0,0
French Inc,Finance,Phishing,700701,90,747024,CCPA,2018,1,4,0,1
Perkins-Schwartz,Government,DDoS,42329,314,435981,PCI-DSS,2024,2,1,3,0
Arnold Ltd,Government,Phishing,86752,54,420667,PCI-DSS,2024,2,4,3,0
Ryan and Sons,Government,Phishing,914799,12,596504,PCI-DSS,2023,2,4,3,1
Ho-Williams,Finance,Phishing,249574,209,425881,SOX,2022,1,4,4,0
"Harris, Matthews and Myers",Education,Insider Threat,703824,14,920761,CCPA,2017,0,2,0,1
"Matthews, Camacho and Foster",Government,Credential Theft,913035,121,445396,HIPAA,2023,2,0,2,0
"Fischer, Wilcox and Haynes",Technology,Insider Threat,260216,20,573025,,2019,5,2,5,1
Ayala LLC,Finance,Credential Theft,871410,75,694188,PCI-DSS,2017,1,0,3,1
Gutierrez and Sons,Finance,Phishing,843588,243,820450,PCI-DSS,2019,1,4,3,1
"Krause, James and Davis",Education,DDoS,945094,223,351598,,2024,0,1,5,0
Terry and Sons,Finance,Credential Theft,521085,70,416407,,2018,1,0,5,0
Obrien-Parker,Finance,Malware,20075,312,754918,CCPA,2022,1,3,0,1
Atkinson-Reyes,Government,Malware,157895,211,662012,PCI-DSS,2019,2,3,3,1
"Schroeder, Cobb and Price",Education,Ransomware,416595,101,715035,,2024,0,5,5,1
"Medina, Armstrong and Ramirez",Government,Credential Theft,209473,186,226259,SOX,2022,2,0,4,0
Mata PLC,Government,DDoS,929165,132,809599,SOX,2023,2,1,4,1
Green Group,Education,Insider Threat,197233,111,347718,PCI-DSS,2018,0,2,3,0
Evans PLC,Healthcare,Phishing,874929,132,538458,,2021,3,4,5,1
"Martinez, Brown and Smith",Government,Ransomware,704613,20,470355,CCPA,2016,2,5,0,0
"Henderson, Hernandez and Gallagher",Technology,Malware,295386,24,324303,CCPA,2020,5,3,0,0
"Ward, Vincent and Jones",Technology,Insider Threat,813448,227,217492,CCPA,2022,5,2,0,0
Garcia Group,Finance,Insider Threat,588712,154,151230,GDPR,2021,1,2,1,0
"Baxter, Velasquez and French",Technology,Phishing,176137,293,523803,PCI-DSS,2021,5,4,3,1
Long Group,Finance,Credential Theft,388176,230,194936,CCPA,2022,1,0,0,0
King-Wise,Healthcare,Malware,660108,310,273236,SOX,2021,3,3,4,0
Woodard PLC,Education,DDoS,690593,359,456392,,2019,0,1,5,0
"Davis, Mcdonald and Harmon",Education,Insider Threat,968281,202,-27761,HIPAA,2021,0,2,2,0
Hicks PLC,Education,Phishing,620447,38,655795,HIPAA,2024,0,4,2,1
Mendoza Inc,Technology,DDoS,622705,260,18022,CCPA,2017,5,1,0,0
"Anderson, Miller and Fletcher",Healthcare,Credential Theft,725595,188,484525,HIPAA,2019,3,0,2,0
"Matthews, Gomez and Savage",Technology,Malware,297290,57,503003,HIPAA,2021,5,3,2,1
Newton-Potter,Technology,Credential Theft,440380,20,607612,GDPR,2023,5,0,1,1
Ramos LLC,Healthcare,Insider Threat,101559,273,491663,SOX,2016,3,2,4,0
Rivera-Garrison,Healthcare,DDoS,762085,119,903581,SOX,2018,3,1,4,1
"Flores, Ortiz and Page",Healthcare,DDoS,200522,71,543263,GDPR,2021,3,1,1,1
"Meyer, Webb and Garcia",Healthcare,DDoS,832425,4,710722,GDPR,2015,3,1,1,1
"Johnson, Frey and Roach",Education,Insider Threat,101620,221,355307,HIPAA,2016,0,2,2,0
"Moore, Lee and Love",Retail,Insider Threat,912350,14,524151,PCI-DSS,2023,4,2,3,1
Smith PLC,Retail,Credential Theft,585660,3,809514,,2024,4,0,5,1
Reyes-Miller,Healthcare,Ransomware,747612,216,452460,,2021,3,5,5,0
"Gibson, Brown and Baker",Retail,Credential Theft,516223,229,538446,HIPAA,2024,4,0,2,1
Willis PLC,Retail,Malware,329893,336,696170,,2021,4,3,5,1
Griffith PLC,Healthcare,Phishing,326918,186,351554,GDPR,2020,3,4,1,0
"Martin, Guzman and Sharp",Retail,DDoS,144932,55,67687,SOX,2017,4,1,4,0
Baldwin-Sparks,Technology,Ransomware,153099,254,551114,,2024,5,5,5,1
Salazar-Jones,Finance,Phishing,348719,24,697733,HIPAA,2017,1,4,2,1
"Hughes, Miller and West",Finance,Ransomware,61467,162,229710,PCI-DSS,2016,1,5,3,0
Norton Group,Healthcare,Credential Theft,753415,158,634043,HIPAA,2020,3,0,2,1
Ellis-Cameron,Education,Insider Threat,405904,82,635393,CCPA,2018,0,2,0,1
Harris PLC,Healthcare,DDoS,908282,159,45300,HIPAA,2019,3,1,2,0
"Salazar, Harmon and Tucker",Education,Credential Theft,757138,188,312742,GDPR,2017,0,0,1,0
"Thompson, Fisher and Clark",Finance,Phishing,235906,60,420834,SOX,2020,1,4,4,0
Williams-Pierce,Healthcare,Phishing,904686,305,464075,SOX,2017,3,4,4,0
"Wheeler, Thomas and Smith",Government,Phishing,707693,319,351373,,2022,2,4,5,0
"Martinez, Jones and Avila",Technology,Phishing,44838,211,340599,GDPR,2023,5,4,1,0
Murray PLC,Retail,Phishing,557785,152,834296,CCPA,2018,4,4,0,1
"Kim, Irwin and Ferguson",Education,Ransomware,344433,109,478488,GDPR,2023,0,5,1,0
"Bryant, Mann and Ramirez",Government,Credential Theft,338611,76,360991,HIPAA,2021,2,0,2,0
Jackson-Johnson,Retail,DDoS,202432,30,491766,GDPR,2017,4,1,1,0
"Vincent, Brown and Stewart",Retail,Insider Threat,382829,314,607418,GDPR,2021,4,2,1,1
Barnes-Brock,Healthcare,Insider Threat,863151,117,510325,CCPA,2015,3,2,0,1
Kerr-Crawford,Retail,Credential Theft,111553,356,458854,HIPAA,2017,4,0,2,0
"Phillips, Payne and Novak",Technology,Credential Theft,19916,192,369996,PCI-DSS,2020,5,0,3,0
"Blankenship, Pineda and Ryan",Government,Insider Threat,959844,19,367573,PCI-DSS,2018,2,2,3,0
Wagner-Stewart,Retail,Insider Threat,923880,173,380438,SOX,2021,4,2,4,0
Sanchez-Smith,Healthcare,Ransomware,769399,228,567762,,2017,3,5,5,1
"Smith, Browning and Buchanan",Technology,Malware,866062,350,301163,GDPR,2015,5,3,1,0
"Parker, Wallace and Reyes",Finance,DDoS,416815,183,578653,SOX,2023,1,1,4,1
Moore and Sons,Government,Phishing,371100,113,782598,CCPA,2020,2,4,0,1
"West, Rivera and Woods",Retail,Malware,213667,183,565141,PCI-DSS,2022,4,3,3,1
"Garcia, Brooks and Perry",Healthcare,Credential Theft,515033,146,426082,GDPR,2017,3,0,1,0
"Taylor, Cruz and Edwards",Finance,Insider Threat,596023,319,240374,CCPA,2022,1,2,0,0
Sanders-Shannon,Finance,Malware,894335,116,815621,,2016,1,3,5,1
Joyce-Nolan,Education,DDoS,216284,113,265996,CCPA,2018,0,1,0,0
Sullivan-Rivera,Technology,Credential Theft,298190,251,669712,GDPR,2017,5,0,1,1
Nguyen Inc,Retail,Phishing,317448,251,627703,,2024,4,4,5,1
"Gonzalez, Cook and Walker",Healthcare,Phishing,183058,303,452646,CCPA,2015,3,4,0,0
Allen-Frederick,Education,DDoS,989256,313,447404,,2021,0,1,5,0
Johnson LLC,Technology,DDoS,277807,118,132857,GDPR,2024,5,1,1,0
Wise Ltd,Education,Insider Threat,92424,301,566013,GDPR,2016,0,2,1,1
Rodgers-Yates,Government,Phishing,223636,161,623985,,2018,2,4,5,1
Cardenas-Castro,Technology,Credential Theft,757332,198,282183,HIPAA,2023,5,0,2,0
Garcia-Garcia,Technology,Malware,272091,260,468835,SOX,2020,5,3,4,0
Mcintosh-Levine,Retail,Credential Theft,26255,148,507572,CCPA,2022,4,0,0,1
Spencer Group,Technology,Ransomware,341915,240,616914,CCPA,2016,5,5,0,1
Perez-Gomez,Education,Ransomware,641279,47,500760,HIPAA,2021,0,5,2,1
"Macdonald, Nichols and Olson",Technology,DDoS,869842,198,174736,HIPAA,2020,5,1,2,0
Martin-Garcia,Retail,Insider Threat,460594,47,394012,HIPAA,2023,4,2,2,0
Garcia-Fowler,Retail,Ransomware,149481,78,544925,PCI-DSS,2021,4,5,3,1
Romero-Edwards,Government,Phishing,131791,124,668305,PCI-DSS,2015,2,4,3,1
"Calhoun, Hansen and Murray",Education,Credential Theft,476510,75,376472,,2022,0,0,5,0
Miller Inc,Finance,Credential Theft,443424,359,937529,PCI-DSS,2024,1,0,3,1
Griffith Inc,Finance,DDoS,34807,137,121105,GDPR,2017,1,1,1,0
"Nash, Wilson and Briggs",Technology,Malware,937941,90,387259,,2016,5,3,5,0
Lewis Ltd,Government,DDoS,518577,325,483393,CCPA,2017,2,1,0,0
"Nguyen, Clark and Martin",Healthcare,Malware,868069,61,459850,SOX,2020,3,3,4,0
Johnson-Simmons,Technology,DDoS,721964,138,253571,GDPR,2017,5,1,1,0
Rice Inc,Government,DDoS,703074,50,589572,CCPA,2024,2,1,0,1
Moore-Nelson,Education,DDoS,746888,259,574218,CCPA,2019,0,1,0,1
"Allen, Malone and Miller",Education,Malware,353399,107,509592,,2020,0,3,5,1
"Alexander, Payne and Wolfe",Education,Malware,786813,113,566368,HIPAA,2022,0,3,2,1
"Clark, Myers and Patel",Education,DDoS,158592,350,415244,HIPAA,2021,0,1,2,0
Murphy-Hunt,Education,Ransomware,474212,254,176527,GDPR,2022,0,5,1,0
Smith PLC,Government,Insider Threat,170202,118,356672,HIPAA,2017,2,2,2,0
"Castillo, Miller and Mann",Government,Insider Threat,394374,198,531410,CCPA,2018,2,2,0,1
"Summers, Allen and Burton",Retail,Insider Threat,217385,337,532548,HIPAA,2020,4,2,2,1
"Lowery, Malone and Taylor",Finance,Malware,338504,51,508275,PCI-DSS,2021,1,3,3,1
"Patrick, Snyder and Pittman",Education,Malware,159576,245,609741,HIPAA,2023,0,3,2,1
"Torres, Berry and Brown",Healthcare,Ransomware,758942,35,383770,CCPA,2015,3,5,0,0
Hutchinson-Mason,Government,Insider Threat,161028,302,505336,,2022,2,2,5,1
Banks-Johns,Healthcare,Insider Threat,664660,69,614418,GDPR,2022,3,2,1,1
"Cook, Tyler and Drake",Healthcare,DDoS,850710,349,483022,SOX,2020,3,1,4,0
"Carter, Cline and Jones",Healthcare,Malware,296241,320,251335,HIPAA,2018,3,3,2,0
Tate-Lloyd,Retail,Insider Threat,943215,49,307702,CCPA,2017,4,2,0,0
Pope-Bradford,Government,Credential Theft,643661,74,666170,SOX,2017,2,0,4,1
"Collier, Martin and Thompson",Healthcare,Ransomware,696695,192,778494,SOX,2020,3,5,4,1
Nelson Ltd,Education,Credential Theft,248600,261,735056,PCI-DSS,2022,0,0,3,1
Walker Inc,Technology,Credential Theft,690517,356,546431,SOX,2021,5,0,4,1
Morris-Hernandez,Healthcare,Ransomware,132411,70,259373,,2015,3,5,5,0
Davis Ltd,Retail,Credential Theft,759134,90,498729,CCPA,2020,4,0,0,0
"Underwood, Hale and Duncan",Government,Insider Threat,245646,260,812451,CCPA,2021,2,2,0,1
"Price, Cobb and Walsh",Retail,Malware,196833,126,623697,HIPAA,2021,4,3,2,1
Rasmussen-Chen,Healthcare,Ransomware,651333,231,458504,HIPAA,2023,3,5,2,0
Potts Inc,Government,DDoS,569660,295,625725,HIPAA,2024,2,1,2,1
"Cruz, Williams and Cox",Technology,Credential Theft,875925,129,246120,,2019,5,0,5,0
"Martin, Blackwell and Shaffer",Healthcare,Ransomware,847744,280,360865,SOX,2015,3,5,4,0
Duarte-Hernandez,Retail,Phishing,146570,313,283161,SOX,2016,4,4,4,0
"Hill, Cochran and Johnson",Finance,Phishing,644418,100,593914,PCI-DSS,2018,1,4,3,1
Page-Gutierrez,Education,Malware,318747,326,642820,,2019,0,3,5,1
Harper Inc,Retail,Insider Threat,924242,297,469234,HIPAA,2023,4,2,2,0
"Potts, Castillo and Lopez",Government,Malware,6670,182,325414,GDPR,2015,2,3,1,0
Finley and Sons,Healthcare,Malware,331029,174,496050,PCI-DSS,2017,3,3,3,0
Booth LLC,Education,Malware,533498,316,402684,GDPR,2019,0,3,1,0
"Hardy, Carlson and Brown",Healthcare,Malware,499215,364,340765,SOX,2017,3,3,4,0
Alvarez and Sons,Government,DDoS,79241,188,567798,PCI-DSS,2018,2,1,3,1
Sanchez-Zuniga,Healthcare,DDoS,12215,57,348401,PCI-DSS,2017,3,1,3,0
"Smith, Jones and Perez",Finance,Ransomware,39162,31,186730,CCPA,2018,1,5,0,0
Sanchez and Sons,Education,Phishing,809443,84,231177,SOX,2015,0,4,4,0
"Lee, Ibarra and Foster",Education,Malware,628449,152,179347,SOX,2022,0,3,4,0
Schultz and Sons,Government,Ransomware,294800,36,549502,,2018,2,5,5,1
"Jordan, Choi and Rodriguez",Finance,Phishing,995735,213,530081,PCI-DSS,2021,1,4,3,1
"Hill, Wood and Martinez",Retail,Credential Theft,390579,364,520104,SOX,2016,4,0,4,1
Nichols Group,Healthcare,Insider Threat,526357,106,617546,PCI-DSS,2016,3,2,3,1
Mcgee Group,Technology,DDoS,830285,342,738391,,2020,5,1,5,1
Hampton Ltd,Healthcare,Credential Theft,397786,220,381546,,2016,3,0,5,0
Snyder Inc,Healthcare,Phishing,121963,163,581295,CCPA,2020,3,4,0,1
Dixon LLC,Retail,Credential Theft,796757,220,184076,PCI-DSS,2016,4,0,3,0
Garcia-Warren,Healthcare,Insider Threat,501176,270,775741,SOX,2018,3,2,4,1
Powell Ltd,Finance,Phishing,647396,120,251033,SOX,2021,1,4,4,0
Meyers Inc,Finance,Credential Theft,500826,336,357983,PCI-DSS,2022,1,0,3,0
"Perez, Perry and Benson",Education,DDoS,678656,182,380458,PCI-DSS,2017,0,1,3,0
Graham-Johnson,Government,DDoS,630211,106,194745,PCI-DSS,2023,2,1,3,0
Walker-Yang,Technology,Ransomware,800201,217,506515,HIPAA,2016,5,5,2,1
"Calhoun, Holmes and Kelly",Healthcare,Credential Theft,954984,205,542780,SOX,2022,3,0,4,1
"Joyce, Mcneil and Hernandez",Healthcare,Malware,910930,70,462117,,2022,3,3,5,0
Williams and Sons,Retail,Credential Theft,635065,44,191950,SOX,2018,4,0,4,0
"Bowman, Ali and Davis",Government,Phishing,771346,329,896677,HIPAA,2015,2,4,2,1
Gray-Simpson,Finance,Phishing,48420,301,609846,PCI-DSS,2015,1,4,3,1
Gonzalez and Sons,Technology,Credential Theft,965018,228,1026844,CCPA,2016,5,0,0,1
Garcia-Williams,Education,Insider Threat,496858,184,338978,PCI-DSS,2023,0,2,3,0
Bryant Ltd,Finance,DDoS,146749,107,691576,PCI-DSS,2016,1,1,3,1
Munoz PLC,Government,Phishing,125454,84,655854,HIPAA,2016,2,4,2,1
Carlson Inc,Education,DDoS,612397,338,441884,SOX,2020,0,1,4,0
"Hall, King and Price",Retail,Phishing,781825,250,782210,PCI-DSS,2021,4,4,3,1
George-Gonzalez,Retail,Ransomware,448725,363,418917,SOX,2021,4,5,4,0
Thomas Inc,Healthcare,Malware,28725,21,427821,GDPR,2023,3,3,1,0
Todd-Young,Government,Phishing,736500,196,-194285,,2020,2,4,5,0
"Quinn, Henson and Knapp",Technology,DDoS,286333,178,581805,SOX,2022,5,1,4,1
Smith Group,Education,Ransomware,36587,7,234898,CCPA,2020,0,5,0,0
Murray-Garcia,Finance,Phishing,459154,70,389855,,2016,1,4,5,0
Lewis-Maldonado,Government,Insider Threat,228171,127,294756,CCPA,2015,2,2,0,0
"Vasquez, Green and Phillips",Government,Malware,896980,160,426753,PCI-DSS,2019,2,3,3,0
"Velazquez, York and Downs",Retail,Phishing,488111,248,588776,,2023,4,4,5,1
Sanders-Evans,Healthcare,Ransomware,312382,203,502228,SOX,2022,3,5,4,1
Owens-Huang,Healthcare,Insider Threat,173995,148,641928,,2018,3,2,5,1
Jacobs-Brown,Education,Credential Theft,430524,143,753125,PCI-DSS,2019,0,0,3,1
Stephens-Page,Retail,Ransomware,316305,199,426240,HIPAA,2019,4,5,2,0
Collins LLC,Government,Ransomware,948263,154,404286,CCPA,2020,2,5,0,0
"Peterson, Shaw and Adams",Technology,Insider Threat,101476,142,691545,PCI-DSS,2017,5,2,3,1
"Davis, Mills and Haney",Retail,Ransomware,425206,313,707409,HIPAA,2019,4,5,2,1
"Randolph, Rivera and Martin",Education,Insider Threat,865666,165,648118,,2016,0,2,5,1
Gay Ltd,Education,Phishing,833587,314,309564,,2024,0,4,5,0
Roach-Black,Retail,Insider Threat,767729,21,584531,PCI-DSS,2015,4,2,3,1
Sanchez Inc,Education,Insider Threat,281752,82,521894,SOX,2015,0,2,4,1
"Young, Arnold and Henderson",Retail,Malware,959891,69,710505,,2024,4,3,5,1
Smith Inc,Finance,Insider Threat,472232,131,385425,SOX,2021,1,2,4,0
Morales-Miranda,Retail,Insider Threat,158156,87,166677,SOX,2016,4,2,4,0
Lambert PLC,Retail,Credential Theft,634557,218,638047,SOX,2018,4,0,4,1
Riley-Carter,Education,Phishing,794657,305,-11673,GDPR,2019,0,4,1,0
Schwartz-Williamson,Education,Malware,560447,345,353697,HIPAA,2021,0,3,2,0
Larson-Green,Healthcare,Credential Theft,462885,341,295360,HIPAA,2016,3,0,2,0
"Frost, Mclean and Wilson",Healthcare,DDoS,627797,161,294013,,2020,3,1,5,0
"Smith, Neal and Martinez",Finance,Phishing,934691,178,350193,,2015,1,4,5,0
"Collins, Martin and Mcpherson",Healthcare,Phishing,499753,117,743474,SOX,2021,3,4,4,1
Brown-West,Retail,DDoS,530092,196,664111,GDPR,2023,4,1,1,1
Knight-Berry,Education,Insider Threat,978180,327,449653,SOX,2019,0,2,4,0
Howard Inc,Healthcare,Credential Theft,728844,86,726724,GDPR,2019,3,0,1,1
Parsons-Nichols,Healthcare,Ransomware,742588,289,287540,SOX,2018,3,5,4,0
Key PLC,Finance,Malware,635667,81,260343,CCPA,2017,1,3,0,0
Adams Inc,Government,Ransomware,990064,152,672719,CCPA,2023,2,5,0,1
Bell-Barber,Finance,DDoS,682668,61,615928,PCI-DSS,2019,1,1,3,1
Thomas LLC,Retail,Phishing,642904,61,407947,SOX,2022,4,4,4,0
Rogers Group,Education,Phishing,522928,354,272907,,2023,0,4,5,0
Soto LLC,Finance,Malware,478466,28,791946,HIPAA,2019,1,3,2,1
Castillo Ltd,Healthcare,Phishing,721484,43,155979,PCI-DSS,2024,3,4,3,0
Johnson LLC,Education,Phishing,957486,169,380314,,2023,0,4,5,0
Lee Group,Education,Malware,419239,86,545715,CCPA,2016,0,3,0,1
Bartlett PLC,Healthcare,Credential Theft,519877,177,860432,SOX,2023,3,0,4,1
"Mcpherson, Meyer and Butler",Finance,Credential Theft,376288,17,576620,PCI-DSS,2018,1,0,3,1
Lopez-Martinez,Healthcare,Malware,232649,98,596060,SOX,2020,3,3,4,1
"Henson, Freeman and Reynolds",Government,DDoS,553553,198,386123,CCPA,2020,2,1,0,0
Carey-Baker,Education,Phishing,591591,98,613696,PCI-DSS,2020,0,4,3,1
"Carrillo, Mason and Mitchell",Technology,Phishing,485065,65,521061,CCPA,2016,5,4,0,1
"Carroll, Wilkerson and Johnson",Technology,DDoS,790646,330,182307,GDPR,2021,5,1,1,0
Rodriguez-Lopez,Retail,Credential Theft,982569,341,658586,CCPA,2020,4,0,0,1
"Garcia, Brown and Reyes",Healthcare,Insider Threat,36421,5,694078,SOX,2015,3,2,4,1
Bullock LLC,Healthcare,Insider Threat,335541,2,660673,HIPAA,2016,3,2,2,1
Mcdonald PLC,Retail,Insider Threat,883184,22,506665,CCPA,2021,4,2,0,1
Jones-Graham,Retail,Credential Theft,885836,112,308764,,2015,4,0,5,0
"Arias, Long and Hernandez",Retail,Credential Theft,245114,57,38163,HIPAA,2015,4,0,2,0
Wiggins PLC,Education,DDoS,156598,66,531410,GDPR,2015,0,1,1,1
Peterson Ltd,Government,Phishing,17872,330,716388,PCI-DSS,2022,2,4,3,1
Gilbert LLC,Healthcare,DDoS,890286,98,699106,PCI-DSS,2018,3,1,3,1
Anderson-Cook,Education,DDoS,790244,144,663214,HIPAA,2018,0,1,2,1
Carpenter Group,Retail,Credential Theft,394683,125,485157,PCI-DSS,2016,4,0,3,0
"Steele, Ellis and Manning",Healthcare,Insider Threat,238489,167,717492,CCPA,2015,3,2,0,1
Martinez Inc,Education,Ransomware,639530,86,684832,HIPAA,2024,0,5,2,1
Ball-Jackson,Government,Phishing,616124,76,415473,SOX,2023,2,4,4,0
Zimmerman-Strong,Education,Credential Theft,52024,344,635319,CCPA,2021,0,0,0,1
Newton-Olson,Government,Insider Threat,528114,294,392808,CCPA,2018,2,2,0,0
"Banks, Boyd and Tate",Retail,Ransomware,351396,59,608004,CCPA,2020,4,5,0,1
Bailey-Warner,Government,Ransomware,27823,138,240176,SOX,2016,2,5,4,0
James-Jordan,Healthcare,Credential Theft,913501,99,255557,GDPR,2021,3,0,1,0
Owen-Aguilar,Retail,Malware,758570,192,711641,,2016,4,3,5,1
Mejia PLC,Healthcare,Phishing,887026,243,687512,PCI-DSS,2024,3,4,3,1
Smith Group,Technology,Ransomware,664568,319,626722,HIPAA,2022,5,5,2,1
Stewart-Ellis,Finance,Credential Theft,208886,49,517593,GDPR,2022,1,0,1,1
Manning-Pierce,Government,Credential Theft,560031,32,21745,HIPAA,2015,2,0,2,0
Vazquez PLC,Finance,Insider Threat,686784,277,485024,PCI-DSS,2022,1,2,3,0
Smith-Fisher,Finance,Malware,890428,20,590836,SOX,2016,1,3,4,1
Malone LLC,Government,Phishing,214532,154,393053,CCPA,2020,2,4,0,0
Burke-Petty,Retail,DDoS,140099,68,357501,CCPA,2015,4,1,0,0
Taylor LLC,Technology,Insider Threat,880212,214,788884,SOX,2019,5,2,4,1
